brand,product,url,description,imgSrc,imgAlt,name,specific,colorspace,hex,hue,sat,lightness
Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,Deep Espresso,https://images.ulta.com/is/image/Ulta/2558957sw?$50px$,Deep Espresso,Deep Espresso,NA,RGB,#2F2828,0,0.08045977,0.170588235
Juvia's Place,I Am Magic Foundation,https://www.ulta.com/i-am-magic-foundation?productId=pimprod2006831,100 Sudan (for the deepest darkest skin w/ a cool undertone)  selected,https://images.ulta.com/is/image/Ulta/2550479sw?$tn$,100 Sudan (for the deepest darkest skin w/ a cool undertone),Sudan,100,RGB,#382725,6.315789474,0.204301075,0.182352941
Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,Nude Mocha,https://images.ulta.com/is/image/Ulta/2557356sw?$50px$,Nude Mocha,Nude Mocha,NA,RGB,#392928,3.529411765,0.175257732,0.190196078
Urban Decay Cosmetics,Stay Naked Weightless Liquid Foundation,https://www.ulta.com/stay-naked-weightless-liquid-foundation?productId=pimprod2007471,92NN (ultra-deep neutral w/ neutral undertone),https://images.ulta.com/is/image/Ulta/2549589sw?$50px$,92NN (ultra-deep neutral w/ neutral undertone),NA,92NN,RGB,#392B27,13.33333333,0.1875,0.188235294
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,https://www.sephora.com/product/bounce-liquid-whip-longwear-foundation-P433987?icid2=products%20grid:p433987,4.75 Neutral very deep with neutral undertones,/productimages/sku/s2173011+sw.jpg,4.75 Neutral,Neutral,4.75,RGB,#3A2115,19.45945946,0.46835443,0.154901961
Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F5.120 Neutral (deepest w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2541893sw?$50px$,F5.120 Neutral (deepest w/ neutral undertones),Neutral,F5.120,RGB,#3B2D28,15.78947368,0.191919192,0.194117647
Dose Of Colors,Meet Your Hue Foundation,https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052,142 Deep (deep w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2553489sw?$50px$,142 Deep (deep w/ neutral undertones),Deep,142,RGB,#3D2A24,14.4,0.257731959,0.190196078
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,590C (very deep skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551459sw?$50px$,590C (very deep skin with a cool undertone),NA,590C,RGB,#3E2822,12.85714286,0.291666667,0.188235294
Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F5.110 Warm (deepest w/ rich red undertones),https://images.ulta.com/is/image/Ulta/2541904sw?$50px$,F5.110 Warm (deepest w/ rich red undertones),Warm,F5.110,RGB,#3E2927,5.217391304,0.227722772,0.198039216
KVD Vegan Beauty,Lock-It Foundation,https://www.ulta.com/lock-it-foundation?productId=pimprod2018138,Deep 87 N (rich deep ebony with neutral undertone),https://images.ulta.com/is/image/Ulta/2570613sw?$50px$,Deep 87 N (rich deep ebony with neutral undertone),Deep   N,87,RGB,#412A28,4.8,0.238095238,0.205882353
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,580W (very deep skin with a warm red undertone),https://images.ulta.com/is/image/Ulta/2551461sw?$50px$,580W (very deep skin with a warm red undertone),NA,580W,RGB,#422922,13.125,0.32,0.196078431
Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,Rich Cocoa,https://images.ulta.com/is/image/Ulta/2558958sw?$50px$,Rich Cocoa,Rich Cocoa,NA,RGB,#432C2A,4.8,0.229357798,0.21372549
Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F5.100 Neutral (deepest w/ slightly red undertones),https://images.ulta.com/is/image/Ulta/2541892sw?$50px$,F5.100 Neutral (deepest w/ slightly red undertones),Neutral,F5.100,RGB,#432D27,12.85714286,0.264150943,0.207843137
e.l.f. Cosmetics,Flawless Finish Foundation,https://www.ulta.com/flawless-finish-foundation?productId=xlsImpprod14541123,Ebony (richest with neutral-cool undertones),https://images.ulta.com/is/image/Ulta/2554513sw?$50px$,Ebony (richest with neutral-cool undertones),Ebony,NA,RGB,#432D29,9.230769231,0.240740741,0.211764706
Dose Of Colors,Meet Your Hue Foundation,https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052,141 Deep (deep w/ golden undertones),https://images.ulta.com/is/image/Ulta/2553488sw?$50px$,141 Deep (deep w/ golden undertones),Deep,141,RGB,#442E24,18.75,0.307692308,0.203921569
L.A. Girl,Pro Matte Mixing Pigment,https://www.ulta.com/pro-matte-mixing-pigment?productId=pimprod2003317,Blue  selected,https://images.ulta.com/is/image/Ulta/2540122sw?$tn$,Blue,Blue,NA,RGB,#4460F3,230.4,0.879396985,0.609803922
ZOEVA,Authentik Skin Natural Luminous Foundation,https://www.ulta.com/authentik-skin-natural-luminous-foundation?productId=pimprod2008861,440C Wise (very deep cool tone),https://images.ulta.com/is/image/Ulta/2554243sw?$50px$,440C Wise (very deep cool tone),Wise,440C,RGB,#452722,8.571428571,0.339805825,0.201960784
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,570N (deep skin with a neutral red undertone),https://images.ulta.com/is/image/Ulta/2551460sw?$50px$,570N (deep skin with a neutral red undertone),NA,570N,RGB,#452A21,15,0.352941176,0.2
Givenchy,Teint Couture City Balm Radiant Perfecting Skin Tint SPF 25,https://www.sephora.com/product/givenchy-teint-couture-city-balm-radiant-perfecting-skin-tint-spf-25-P454977?icid2=products%20grid:p454977,N490 deep with neutral undertones,/productimages/sku/s2329373+sw.jpg,N490 1 oz/ 30 mL,NA,N490,RGB,#45312E,7.826086957,0.2,0.225490196
Too Faced,Born This Way Foundation,https://www.sephora.com/product/born-this-way-P397517?icid2=products%20grid:p397517,Ganache richest with neutral undertones,/productimages/sku/s2084705+sw.jpg,Ganache 1 oz,Ganache,NA,RGB,#462B21,16.21621622,0.359223301,0.201960784
KVD Vegan Beauty,Lock-It Foundation,https://www.ulta.com/lock-it-foundation?productId=pimprod2018138,Deep 85 W (rich deep truffle with warm undertone),https://images.ulta.com/is/image/Ulta/2570612sw?$50px$,Deep 85 W (rich deep truffle with warm undertone),Deep   W,85,RGB,#462D26,13.125,0.296296296,0.211764706
Urban Decay Cosmetics,Stay Naked Weightless Liquid Foundation,https://www.ulta.com/stay-naked-weightless-liquid-foundation?productId=pimprod2007471,90CB (ultra-deep cool w/ plum undertone),https://images.ulta.com/is/image/Ulta/2549579sw?$50px$,90CB (ultra-deep cool w/ plum undertone),NA,90CB,RGB,#463631,14.28571429,0.176470588,0.233333333
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,https://www.ulta.com/ultimate-coverage-24-hour-foundation?productId=xlsImpprod18191081,"Chestnut 6C3 (deepest, rich espresso w/ cool undertones)",https://images.ulta.com/is/image/Ulta/2529031sw?$50px$,"Chestnut 6C3 (deepest, rich espresso w/ cool undertones)",Chestnut,6C3,RGB,#472D29,8,0.267857143,0.219607843
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,DPN6 Espresso (rich brown skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2544532sw?$50px$,DPN6 Espresso (rich brown skin w/ neutral undertones),Espresso,DPN6,RGB,#47302C,8.888888889,0.234782609,0.225490196
Beauty Bakerie,InstaBake Aqua Glass Foundation,https://www.ulta.com/instabake-aqua-glass-foundation?productId=pimprod2009084,301 Neutral,https://images.ulta.com/is/image/Ulta/2552710sw?$50px$,301 Neutral,Neutral,301,RGB,#47312A,14.48275862,0.256637168,0.221568627
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,https://www.ulta.com/true-portrait-medium-coverage-shake-foundation?productId=pimprod2018125,Deep 098 (rich-deep with neutral undertone),https://images.ulta.com/is/image/Ulta/2570671sw?$50px$,Deep 098 (rich-deep with neutral undertone),Deep,98,RGB,#483329,19.35483871,0.274336283,0.221568627
Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F5.90 Olive (deepest w/ rich green undertones),https://images.ulta.com/is/image/Ulta/2541971sw?$50px$,F5.90 Olive (deepest w/ rich green undertones),Olive,F5.90,RGB,#483427,23.63636364,0.297297297,0.217647059
Catrice,HD Liquid Coverage Foundation,https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,098 Deep Mocha,https://images.ulta.com/is/image/Ulta/2558564sw?$50px$,098 Deep Mocha,Deep Mocha,98,RGB,#493329,18.75,0.280701754,0.223529412
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,560W (deep skin with a warm beige undertone),https://images.ulta.com/is/image/Ulta/2551458sw?$50px$,560W (deep skin with a warm beige undertone),NA,560W,RGB,#4A2D23,15.38461538,0.357798165,0.21372549
Dose Of Colors,Meet Your Hue Foundation,https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052,140 Deep (deep w/ warm w/ red undertones),https://images.ulta.com/is/image/Ulta/2553487sw?$50px$,140 Deep (deep w/ warm w/ red undertones),Deep,140,RGB,#4A3029,12.72727273,0.286956522,0.225490196
Dermablend,Flawless Creator Liquid Foundation Drops,https://www.ulta.com/flawless-creator-liquid-foundation-drops?productId=xlsImpprod16661005,90N (very deep skin with neutral undertones),https://images.ulta.com/is/image/Ulta/2518680sw?$50px$,90N (very deep skin with neutral undertones),NA,90N,RGB,#4B3327,20,0.315789474,0.223529412
Juvia's Place,I Am Magic Foundation,https://www.ulta.com/i-am-magic-foundation?productId=pimprod2006831,120 Chad (for the deepest darkest skin w/ neutral undertone),https://images.ulta.com/is/image/Ulta/2550480sw?$50px$,120 Chad (for the deepest darkest skin w/ neutral undertone),Chad,120,RGB,#4C2C26,9.473684211,0.333333333,0.223529412
Makeup Revolution,Fast Base Stick Foundation,https://www.ulta.com/fast-base-stick-foundation?productId=xlsImpprod18241087,F18 (for dark skin tones with a warm undertone) OUT OF STOCK,https://images.ulta.com/is/image/Ulta/2527614sw?$50px$,F18 (for dark skin tones with a warm undertone),NA,F18,RGB,#4C2E23,16.09756098,0.369369369,0.217647059
Dose Of Colors,Meet Your Hue Foundation,https://www.ulta.com/meet-your-hue-foundation?productId=pimprod2008052,139 Deep (deep w/ neutral w/ red undertones),https://images.ulta.com/is/image/Ulta/2553486sw?$50px$,139 Deep (deep w/ neutral w/ red undertones),Deep,139,RGB,#4D3329,16.66666667,0.305084746,0.231372549
